Survey method,GOC region,Survey method_region,Sobs
UVC,North,UVC North,19
UVC,North,UVC North,32
UVC,North,UVC North,24
UVC,North,UVC North,18
UVC,North,UVC North,29
UVC,North,UVC North,27
UVC,North,UVC North,29
UVC,North,UVC North,37
UVC,Central,UVC Central,50
UVC,Central,UVC Central,30
UVC,Central,UVC Central,39
UVC,Central,UVC Central,42
UVC,Central,UVC Central,44
UVC,Central,UVC Central,43
UVC,Central,UVC Central,47
UVC,Central,UVC Central,40
UVC,Central,UVC Central,48
UVC,Central,UVC Central,35
UVC,Central,UVC Central,38
UVC,Central,UVC Central,39
UVC,Central,UVC Central,48
UVC,Central,UVC Central,34
UVC,Central,UVC Central,22
UVC,Central,UVC Central,32
eDNA,North,eDNA North,37
eDNA,North,eDNA North,40
eDNA,North,eDNA North,36
eDNA,North,eDNA North,39
eDNA,North,eDNA North,35
eDNA,North,eDNA North,49
eDNA,North,eDNA North,40
eDNA,Central,eDNA Central,39
eDNA,Central,eDNA Central,52
eDNA,Central,eDNA Central,44
eDNA,Central,eDNA Central,39
eDNA,Central,eDNA Central,42
eDNA,Central,eDNA Central,49
eDNA,Central,eDNA Central,47
eDNA,Central,eDNA Central,46
eDNA,Central,eDNA Central,40
eDNA,Central,eDNA Central,41
eDNA,Central,eDNA Central,51
eDNA,Central,eDNA Central,56
eDNA,Central,eDNA Central,47
eDNA,Central,eDNA Central,53
eDNA,Central,eDNA Central,49
eDNA,Central,eDNA Central,52
eDNA,Central,eDNA Central,45