site,long,lat
POR,-110.674,24.749
BSS,-110.525,24.809
ANI,-110.508,25.114
SDI,-110.695,25.204
SCR,-110.689,25.313
MAT,-110.993,25.379
CAT,-110.776,25.715
MON,-111.049,25.744
DAN,-111.255,25.813
CAR,-111.169,26.017
COR,-111.262,26.174
PUL,-111.443,26.515
ILD,-111.427,26.625
SMAR,-112.089,27.26
TOR,-111.062,27.431
NOL,-111.371,27.966
PMA,-112.296,28.382
FRA,-112.796,28.383
LOR,-112.759,28.585
IA-I,-113.559,29.555
LOB,-112.966,30.222
PAT,-112.464,29.266
TIB,-112.506,29.065
EST,-112.613,28.722